method,seed,outer_fold,params,inner_mrr
A4_bigram_salience,2,0,{'C': 0.01},0.2811
A4_bigram_salience,2,0,{'C': 0.1},0.1955
A4_bigram_salience,2,0,{'C': 1},0.1155
A4_bigram_salience,2,0,{'C': 10},0.0694
A4_bigram_salience,2,1,{'C': 0.001},0.2629
A4_bigram_salience,2,1,{'C': 0.01},0.2691
A4_bigram_salience,2,1,{'C': 0.1},0.2170
A4_bigram_salience,2,1,{'C': 1},0.1451
A4_bigram_salience,2,1,{'C': 10},0.0795
A4_bigram_salience,2,2,{'C': 0.001},0.2599
A4_bigram_salience,2,2,{'C': 0.01},0.2741
A4_bigram_salience,2,2,{'C': 0.1},0.2193
A4_bigram_salience,2,2,{'C': 1},0.1071
A4_bigram_salience,2,2,{'C': 10},0.0676
A4_bigram_salience,2,3,{'C': 0.001},0.2762
A4_bigram_salience,2,3,{'C': 0.01},0.2883
A4_bigram_salience,2,3,{'C': 0.1},0.2260
A4_bigram_salience,2,3,{'C': 1},0.1435
A4_bigram_salience,2,3,{'C': 10},0.0887
A4_bigram_salience,2,4,{'C': 0.001},0.2216
A4_bigram_salience,2,4,{'C': 0.01},0.2170
A4_bigram_salience,2,4,{'C': 0.1},0.1649
A4_bigram_salience,2,4,{'C': 1},0.0571
A4_bigram_salience,2,4,{'C': 10},0.0313
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4515
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4557
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4641
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4482
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4437
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4480
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4591
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4340
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4389
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4606
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4527
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4429
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4661
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4359
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4350
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4523
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4038
A6_gbm_fusion,0,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3376
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4300
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4373
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4348
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4408
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4412
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4495
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4504
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4479
A6_gbm_fusion,0,1,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4295
