product,c_true,c_rand_mean,n_rand
Dwelling,1.0000,0.5300,20
Elvishore,1.0000,0.4100,20
You So Lovely,1.0000,0.5100,20
Spices Fragrance,1.0000,0.5300,20
Glamour Glam,1.0000,0.4100,20
Jeep Black,1.0000,0.4211,19
Exits,1.0000,0.3800,20
Savile Row,1.0000,0.3700,20
Na Or Ya,1.0000,0.3200,20
Senyasen,0.8000,0.3600,20
Floresta,1.0000,0.5800,20
Solitary Man,1.0000,0.3700,20
Fornine,1.0000,0.4900,20
Rafi Ahmad Touch Rafatar,1.0000,0.4900,20
English M,1.0000,0.3300,20
Sweet Home,1.0000,0.3600,20
Black Square,1.0000,0.5100,20
Run Away,0.8000,0.2900,20
Iron Man,0.8000,0.3700,20
Excelsior,1.0000,0.3900,20
Be Mine,1.0000,0.4100,20
Shine Review,0.6000,0.4400,20
Black Snow,1.0000,0.3300,20
Moment of Truth,1.0000,0.4800,20
Timber,1.0000,0.5500,20
Groove Large,1.0000,0.4800,20
Conoir,1.0000,0.5500,20
Dorsava,0.6000,0.3300,20
Lugsary,0.8889,0.3333,20
Festive Love,1.0000,0.1895,19
Pyramid,0.7500,0.3500,20
Guardino,1.0000,0.3500,20
Haleef,0.4000,0.2900,20
Esava-X,0.6000,0.4316,19
Golden Dust,0.8000,0.3900,20
tobacco,1.0000,0.4200,20
Satnight,0.4000,0.5000,20
M Too Man,1.0000,0.2400,20
Dhuga Light,1.0000,0.2000,20
