p_idx,product,q_idx,query,len_Ap,len_Aq,contained,subseq,prefix
4,Fancy Dress,72,Elie Saab Elixir for woman,5,7,1,0,0
326,Dorsava,73,Elixir — Aurora Scents,5,10,0,0,0
15,Patchouli Petals,74,Elle by Yves Saint Laurent,5,10,0,0,0
292,Elvishore,75,Elysium Pour Homme Parfum Cologne — Roja Dove,5,9,1,1,0
66,Bosa Nova,76,English Pear & Freesia Jo Malone London,5,10,1,0,0
330,Guardino,77,Envy Me — Gucci,5,10,1,1,1
231,Particless,78,Escada Magnetism — Escada,5,10,1,0,0
236,She Walf,79,Escada Moon Sparkle — Escada,3,5,1,1,1
316,Run Away,80,Escape for Men — Calvin Klein,5,10,1,1,1
14,Black Ball,81,Essential Sport by Lacoste Fragrances,5,6,1,0,0
249,Green Eternity,82,Eternity for Men Eau de Parfum — Calvin Klein,5,9,1,1,1
207,Valesca,83,Euphoria Blossom Calvin Klein,5,9,1,1,0
216,given sea,84,Fantasia Mermaid — Anna Sui,5,10,1,0,0
239,Yiper,85,Fantasy The Naughty Remix — Britney Spears,5,8,1,1,1
268,Hughes,86,Femme — Hugo Boss,5,7,1,1,1
92,Jeep Shine,87,Ferrari Black Ferrari for men,5,10,1,0,0
300,Jeep Black,88,Ferrari Black — Ferrari,5,10,1,0,0
70,FOF,89,Flight Of Fancy Anna Sui,3,6,1,0,0
67,Victory,90,Flora by Gucci Eau de Parfum,5,8,1,1,1
69,Woman In Red,91,Flower by Kenzo,5,10,1,1,1
250,Unicorn Lady,92,Gardenia — Zara,5,7,0,0,0
168,Classy Bless,93,Gentleman Eau de Parfum Givenchy,5,10,1,0,0
68,White Sense,94,Ginza Murasaki Shiseido,8,9,1,1,0
256,Glowing Face,95,Glow — Jennifer Lopez,5,7,1,1,1
9,Classic Vintage,96,Gold immortals by ex nihilo,5,10,1,0,0
3,Spicy Day,97,Gold Incense by Carolina Herrera Confidential,5,10,1,0,0
148,Artemis,98,Green Irish Tweed Creed,5,10,0,0,0
152,Fresh Matcha,99,Green Tea Elizabeth Arden,5,5,1,1,1
269,Blooming,100,Gucci Bloom — Gucci,2,5,1,1,1
59,My Crush,101,Gucci Rush 2 by Gucci,5,10,1,1,1
64,Woman In Love Never Cross,102,Guess for Women Guess,5,7,1,1,1
63,Sombrero,103,Guess Girl Summer Guess for women,5,6,1,1,1
260,Gravy Glam,104,Guess Seductive — Guess,5,10,1,1,1
298,Spices Fragrance,105,Gypsy Water — Byredo,5,9,1,1,1
328,Festive Love,106,Herod — Parfums de Marly,5,10,1,1,0
194,Devine,107,Hipster Oud Zara,4,10,1,0,0
253,Endless Love,108,Hugo XX — Hugo Boss,5,10,1,1,1
12,Our First Love,109,Hugo XY by Hugo Boss,5,8,1,1,1
227,Sweet Sunshine,110,Incanto Shine — Salvatore Ferragamo,4,7,1,1,0
78,Foreo Ice,111,Individuel Montblanc for men,5,10,1,1,1
156,Passion Art,112,Insolence Eau de Parfum Guerlain,5,9,1,0,0
226,Rose of The Sea,113,Instant Crush — Mancera,5,10,1,0,0
197,Ebbio,114,Intense Cafe Montale,5,9,1,1,1
